PrimaryKeyID,TablaID,ColumnaID,PKNombre
1,1,1,PasajeroID
2,2,7,EmpID
3,3,14,RolID
4,4,17,TiqueID
5,5,23,VueloID
6,6,31,TripulacionID
7,7,36,AvionID
8,8,39,EquipajeID
9,9,44,AerolineaID
10,10,46,AeropuertoID
11,11,49,UbicacionID
12,12,52,PaisID
13,13,55,ProvinciaID
14,14,58,MunicipioID
15,15,61,SectorID
16,16,64,CalleID
17,17,68,CasaID
